Brand,Model,accelSec,topSpeedMPH,rangeMiles,efficiencyWhperMi,OneHourFastChargeMiles,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceUSD
Tesla,Model 3 Long Range Dual Motor,4.6,144.78,279.62,100.04,584.09,TRUE,AWD,Type 2 CCS,Sedan,D,5,60473.2
Volkswagen,ID.3 Pure,10.0,99.42,167.77,103.77,155.34,TRUE,RWD,Type 2 CCS,Hatchback,C,5,32700
Polestar,2,4.7,130.49,248.55,112.47,385.25,TRUE,AWD,Type 2 CCS,Liftback,D,5,61519.6
BMW,iX3,6.8,111.85,223.69,128.0,347.97,TRUE,RWD,Type 2 CCS,SUV,D,5,74163.6
Honda,e,9.5,90.1,105.63,104.39,118.06,TRUE,RWD,Type 2 CCS,Hatchback,B,4,35966.73
Lucid,Air,2.8,155.34,379.04,111.85,385.25,TRUE,AWD,Type 2 CCS,Sedan,F,5,114450
Volkswagen,e-Golf,9.6,93.21,118.06,104.39,136.7,TRUE,FWD,Type 2 CCS,Hatchback,C,5,34771
Peugeot,e-208,8.1,93.21,170.88,101.9,260.98,TRUE,FWD,Type 2 CCS,Hatchback,B,5,32353.38
Tesla,Model 3 Standard Range Plus,5.6,139.81,192.63,95.07,403.89,TRUE,RWD,Type 2 CCS,Sedan,D,5,50554.2
Audi,Q4 e-tron,6.3,111.85,248.55,119.92,335.54,TRUE,AWD,Type 2 CCS,SUV,D,5,59950
Mercedes,EQC 400 4MATIC,5.1,111.85,229.91,134.22,273.4,TRUE,AWD,Type 2 CCS,SUV,D,5,75737.56
Nissan,Leaf,7.9,89.48,136.7,101.9,142.92,TRUE,FWD,Type 2 CHAdeMO,Hatchback,C,5,31865.06
Hyundai,Kona Electric 64 kWh,7.9,103.77,248.55,99.42,236.12,TRUE,FWD,Type 2 CCS,SUV,B,5,44466.55
BMW,i4,4.0,124.27,279.62,110.6,403.89,TRUE,RWD,Type 2 CCS,Sedan,D,5,70850
Hyundai,IONIQ Electric,9.7,102.53,155.34,95.07,130.49,TRUE,FWD,Type 2 CCS,Liftback,C,5,37560.31
Volkswagen,ID.3 Pro S,7.9,99.42,273.4,108.74,366.61,TRUE,RWD,Type 2 CCS,Hatchback,C,4,44620.24
Porsche,Taycan Turbo S,2.8,161.56,233.01,138.57,484.67,TRUE,AWD,Type 2 CCS,Sedan,F,4,197051.29
Volkswagen,e-Up!,11.9,80.78,121.17,103.15,105.63,TRUE,FWD,Type 2 CCS,Hatchback,A,4,23348.89
MG,ZS EV,8.2,86.99,136.7,119.92,161.56,TRUE,FWD,Type 2 CCS,SUV,B,5,32700
Mini,Cooper SE,7.3,93.21,114.95,96.93,161.56,TRUE,FWD,Type 2 CCS,Hatchback,B,4,34532.29
Opel,Corsa-e,8.1,93.21,170.88,101.9,260.98,TRUE,FWD,Type 2 CCS,Hatchback,B,5,31769.14
Tesla,Model Y Long Range Dual Motor,5.1,134.84,264.08,106.25,577.88,TRUE,AWD,Type 2 CCS,SUV,D,7,63895.8
Skoda,Enyaq iV 50,10.0,99.42,180.2,111.23,142.92,TRUE,RWD,Type 2 CCS,SUV,C,5,38150
Audi,e-tron GT,3.5,149.13,264.08,122.41,528.17,TRUE,AWD,Type 2 CCS,Sedan,F,4,136250
Tesla,Model 3 Long Range Performance,3.4,162.18,270.3,103.77,565.45,TRUE,AWD,Type 2 CCS,Sedan,D,5,67013.2
Volkswagen,ID.4,7.5,99.42,260.98,113.71,347.97,TRUE,RWD,Type 2 CCS,SUV,C,5,49050
Volkswagen,ID.3 Pro,9.0,99.42,217.48,103.15,304.47,TRUE,RWD,Type 2 CCS,Hatchback,C,5,35970
Volvo,XC40 P8 AWD Recharge,4.9,111.85,233.01,124.27,292.04,TRUE,AWD,Type 2 CCS,SUV,C,5,65876.33
BMW,i3 120 Ah,7.3,93.21,146.02,100.04,167.77,TRUE,RWD,Type 2 CCS,Hatchback,B,4,41438.53
Peugeot,e-2008 SUV,8.5,93.21,155.34,111.85,236.12,TRUE,FWD,Type 2 CCS,SUV,B,5,37453.49
Audi,e-tron 50 quattro,6.8,118.06,173.98,143.54,279.62,TRUE,AWD,Type 2 CCS,SUV,E,5,73420.22
Kia,e-Niro 64 kWh,7.8,103.77,229.91,107.5,217.48,TRUE,FWD,Type 2 CCS,SUV,C,5,41534.45
Renault,Zoe ZE50 R110,11.4,83.89,195.73,102.53,142.92,TRUE,FWD,Type 2 CCS,Hatchback,B,5,33990.56
Tesla,Cybertruck Tri Motor,3.0,130.49,466.03,165.91,441.17,TRUE,AWD,Type 2 CCS,Pickup,N,6,81750
Mazda,MX-30,9.0,93.21,111.85,110.6,149.13,TRUE,FWD,Type 2 CCS,SUV,C,5,35584.14
Nissan,Leaf e+,7.3,97.56,201.95,106.88,242.33,TRUE,FWD,Type 2 CHAdeMO,Hatchback,C,5,40588.33
Lexus,UX 300e,7.5,99.42,167.77,119.92,118.06,TRUE,FWD,Type 2 CHAdeMO,SUV,C,5,54500
CUPRA,el-Born,6.5,99.42,264.08,112.47,354.18,TRUE,RWD,Type 2 CCS,Hatchback,C,4,49050
Renault,Zoe ZE50 R135,9.5,86.99,192.63,104.39,142.92,TRUE,FWD,Type 2 CCS,Hatchback,B,5,36114.97
Mercedes,EQA,5.0,124.27,217.48,106.25,273.4,TRUE,AWD,Type 2 CCS,SUV,C,5,49050
Tesla,Model S Long Range,3.8,155.34,320.01,114.33,347.97,TRUE,AWD,Type 2,Liftback,F,5,87189.1
Hyundai,Kona Electric 39 kWh,9.9,96.31,158.45,95.69,130.49,TRUE,FWD,Type 2 CCS,SUV,B,5,37028.39
Audi,e-tron Sportback 55 quattro,5.7,124.27,236.12,141.67,379.04,TRUE,AWD,Type 2 CCS,SUV,E,5,88986.51
Skoda,CITIGOe iV,12.3,80.78,121.17,103.15,105.63,TRUE,FWD,Type 2 CCS,Hatchback,A,4,26742.06
